"Start (UTC)","V_avg (km/s)","Duration (s)","Peak (abs mag)","Stations","LonBeg","LatBeg","Ht_beg (km)","LonEnd","LatEnd","Ht_end (km)","Shower","Radiant RA","Radiant DEC"
" 2023-08-12 07:49:12.969767","  56.77271","     0.24","  +0.23"," US0003,US0005,US0009","  -107.240536","    34.468514"," 109.3841","  -107.316807","    34.393251"," 101.2849","Perseids","  46.11611"," +57.66956"
" 2023-08-12 07:49:29.425039","  63.88642","     0.58","  -1.66"," CA000F,CA000V,CA001R,CA002G","   -74.445811","    46.152532"," 112.1193","   -74.732825","    46.357939"," 100.8952","eta Eridanids","  45.63687"," -14.10148"
" 2023-08-12 07:50:29.665790","  59.35239","     0.45","  -0.72"," US0003,US0005,US000J,US000R","  -107.429172","    34.600037"," 108.9980","  -107.575600","    34.469182","  95.7549","...","  50.39386"," +54.83774"
" 2023-08-12 07:50:56.387271","  60.46529","     0.42","  -0.20"," US0003,US0005,US000A,US000C,US000K","  -106.455639","    34.956639"," 110.7167","  -106.583168","    34.834842","  97.1083","Perseids","  46.39117"," +57.28460"
" 2023-08-12 07:51:07.616057","  58.11252","     0.35","  -0.94"," US0038,US0039,US003N,US003P","   -77.140537","    38.791412"," 108.9124","   -77.221696","    38.720490","  93.1976","Perseids","  45.40459"," +57.82718"
" 2023-08-12 07:51:32.894255","  59.54024","     0.36","  -0.45"," US0039,US003N","   -77.261951","    39.408640"," 113.0673","   -77.359119","    39.326673","  95.7951","Perseids","  49.45744"," +58.14992"
" 2023-08-12 07:51:57.750366","  61.05829","     0.53","  -0.57"," US0003,US000A,US000C,US000J,US000K","  -106.397267","    35.369612"," 116.1404","  -106.582619","    35.195725","  97.9168","Perseids","  50.61039"," +56.69726"
" 2023-08-12 07:52:31.308985","  59.43260","     0.36","  -0.43"," US0005,US000C,US000K","  -106.417345","    34.592382"," 111.2146","  -106.530868","    34.485937","  99.2979","Perseids","  46.58700"," +56.64463"
" 2023-08-12 07:53:35.149717","  43.36129","     0.41","  -0.39"," US0005,US0009","  -107.401914","    33.482268"," 103.0087","  -107.407878","    33.423224","  86.6194","..."," 333.63803"," +55.75523"
" 2023-08-12 07:53:43.644058","  60.36404","     0.41","  -1.22"," CA000B,CA000E","   -71.570878","    47.524900"," 111.3859","   -71.671932","    47.473710","  91.1516","Perseids","  46.25601"," +57.19025"
" 2023-08-12 07:53:53.037932","  59.77140","     0.20","  -0.84"," CA000F,CA000Q,CA002G","   -73.565159","    46.619045"," 106.3493","   -73.594950","    46.666021","  95.2507","July Pegasids","  16.25742"," +20.38772"
" 2023-08-12 07:53:56.958329","  25.93302","     0.76","  +1.07"," US0003,US0005,US000C,US000J,US000K","  -106.792315","    34.570893","  96.8696","  -106.756649","    34.692042","  82.9570","..."," 320.74747"," -11.95400"
" 2023-08-12 07:54:30.753399","  39.56630","     0.48","  -0.17"," US0035,US003M,US003Q","   -79.098585","    39.617887","  98.3091","   -79.062185","    39.734497","  87.1562","AOA"," 348.45762"," -10.94064"
" 2023-08-12 07:54:34.535957","  40.34333","     0.24","  +0.87"," US0005,US0009,US000C","  -106.684329","    34.023501","  98.2762","  -106.708977","    34.069180","  90.0872","Northern delta Aquariids"," 345.29621","  +1.10750"
" 2023-08-12 07:54:43.179000","  18.24715","     0.25","  -0.23"," US0005,US000C,US000M","  -106.377133","    33.604430","  80.5998","  -106.376822","    33.619850","  76.6580","..."," 330.72869","  +6.98777"
" 2023-08-12 07:54:50.267998","  60.04461","     1.33","  -1.82"," BR000J,BR0013","   -48.593855","   -19.960011"," 113.7646","   -48.710318","   -20.628843","  99.0472","Perseids","  46.99750"," +58.26344"
" 2023-08-12 07:54:52.453703","  59.43923","     0.61","  -1.77"," US001N,US002A","   -70.320139","    41.961769"," 116.5896","   -70.467750","    41.853505","  84.4341","Perseids","  46.60645"," +56.84086"
" 2023-08-12 07:54:54.359265","  58.31770","     0.34","  -1.91"," CA000F,CA000Q,CA000R","   -72.576027","    46.470380"," 109.7107","   -72.665701","    46.422085","  93.1190","Perseids","  49.29902"," +57.13175"
" 2023-08-12 07:55:17.264713","  57.97827","     0.24","  -1.20"," CA000F,CA000V,CA001R,CA002G","   -74.640147","    46.122331"," 108.5783","   -74.700594","    46.085499","  96.2722","Perseids","  44.83373"," +58.30692"
" 2023-08-12 07:55:47.968510","  57.04333","     0.29","  -0.38"," US0003,US0005,US000J,US000K,US000R","  -107.326084","    34.688792"," 108.9993","  -107.409650","    34.608053"," 100.6410","Perseids","  50.14332"," +57.05798"
" 2023-08-12 07:56:11.314672","  58.56389","     0.37","  -1.38"," US001U,US001V","  -100.896827","    42.998953"," 109.0070","  -101.021308","    42.909204","  93.5438","Perseids","  45.47408"," +58.09279"
" 2023-08-12 07:58:25.870087","  59.80750","     0.39","  -1.46"," US001U,US001V","  -101.590711","    43.478830"," 107.9164","  -101.720833","    43.394247","  92.6469","Perseids","  45.54915"," +56.39853"
" 2023-08-12 07:59:06.451682","  59.42698","     0.32","  -1.34"," US001U,US001V","  -101.781249","    43.331182"," 107.8674","  -101.882370","    43.258545","  95.6534","Perseids","  47.10624"," +58.12091"
